ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7950671,8.57E-34,2.19E-36,-18.1249649,72.2867034,-9.16E-01,GAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7949679,9.94E-34,2.57E-36,18.0923613,72.1275949,9.17E-01,SPTBN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7972157,1.14E-33,2.98E-36,-18.0626731,71.9825949,-2.91,EDNRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091537,1.47E-33,3.90E-36,-18.0079774,71.7151596,-2.57,IGSF10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8055038,1.63E-33,4.42E-36,-17.9824713,71.5903155,-8.92E-01,LIMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125383,1.63E-33,4.44E-36,-17.9813816,71.5849797,-1.29,NOTCH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7935230,1.63E-33,4.46E-36,17.9805998,71.5811516,1.06,ALDH18A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8004691,2.66E-33,7.37E-36,-17.8790672,71.0833304,-1.46,TMEM88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8126729,3.09E-33,8.63E-36,-17.8470589,70.9261178,-2.28,CLIC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8156571,3.33E-33,9.41E-36,-17.8296555,70.8405834,-2.52,MIR27B,C9orf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8149885,3.34E-33,9.54E-36,-17.8268254,70.8266703,-1.15,ADRA1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8052753,5.32E-33,1.54E-35,-17.7309056,70.3545137,-3.08,GKN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7930894,6.86E-33,2.00E-35,-17.6776798,70.0920069,-1.84,GRK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7971950,6.97E-33,2.07E-35,-17.6711812,70.0599315,-1.77,DACH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8044844,6.97E-33,2.08E-35,17.6702492,70.0553312,7.63E-01,TMEM177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8019988,7.69E-33,2.31E-35,-17.6486577,69.9487193,-1.35,PTPRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7915919,7.81E-33,2.37E-35,-17.6435602,69.9235406,-1.05,TAL1,TAL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8019316,8.54E-33,2.62E-35,17.6234657,69.824254,1.25,PYCR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8109383,1.07E-32,3.31E-35,-17.5768773,69.5938637,-2.2,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7964872,1.20E-32,3.76E-35,-17.5512772,69.4671478,-2.75,PTPRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7996264,1.41E-32,4.47E-35,-17.5165647,69.2951932,-2.22,CDH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8065359,1.45E-32,4.63E-35,-17.5093498,69.2594338,-1.79,CD93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7961111,1.54E-32,4.96E-35,-17.4953585,69.1900695,-1.9,CLEC1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7932407,1.85E-32,6.00E-35,-17.4576355,69.0029266,-3.02,ST8SIA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7978376,1.87E-32,6.14E-35,-17.4527811,68.978831,-1.87,STXBP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8008682,1.91E-32,6.31E-35,17.4474128,68.9521811,9.62E-01,MSI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8099633,2.31E-32,7.70E-35,-17.4075015,68.7539338,-1.72,PPARGC1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7911114,2.90E-32,9.77E-35,17.3601702,68.5185676,9.51E-01,KIF26B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8042038,3.30E-32,1.12E-34,-17.3328869,68.3827665,-1.73,RPL23AP32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8168359,3.54E-32,1.21E-34,-17.3166891,68.3020981,-8.36E-01,NHSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8019762,3.66E-32,1.27E-34,17.3084535,68.2610701,7.11E-01,P4HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8042079,3.72E-32,1.30E-34,-17.3029004,68.2334012,-7.46E-01,CCDC85A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7915184,3.72E-32,1.31E-34,17.3020428,68.2291275,1.13,RHBDL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8142345,3.83E-32,1.36E-34,-17.2940532,68.1893106,-1.42,DOCK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8099524,4.11E-32,1.47E-34,-17.2787965,68.1132553,-2.15,LDB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7958466,4.45E-32,1.61E-34,-17.2611521,68.0252603,-1.25,ACACB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8168028,5.28E-32,1.92E-34,-17.2252901,67.8462901,-1.24,STARD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8064904,5.78E-32,2.12E-34,17.2057596,67.7487546,2.2,FERMT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7903393,7.49E-32,2.77E-34,-17.1526869,67.483466,-1.79,S1PR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8061653,7.99E-32,2.98E-34,-17.1383719,67.4118503,-6.40E-01,CCM2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8120468,8.74E-32,3.29E-34,-17.1189041,67.3144148,-1.22,ADGRB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
